id	text	label
56	“别这样，上帝连麻雀都关心，给它们吃的呢。”他回答说。	Love
57	The Snow covered up the grass with her great white cloak, and the Frost painted all the trees silver. 	Joy
58	The poor children had now nowhere to play.	Sadness
59	“你们在这里干什么？”他喊叫道,声音很霸道，孩子们赶紧跑散了。	Anger
60	然而他就是追不上她；那些住在路边的人却一直否认他们见过她,或者长相像她的人，他们都拿他的悲哀寻开心。	Sadness
61	“哎呀！这种人生观真是太糟了！”火箭说，不过这也不出我所料。	Anger
62	“喂，你笑什么？”火箭问道，“我可没有笑。”	Anger
63	他不准许任何人虐待鸟儿和野兽，而是教人懂得爱、亲情和仁慈；他向穷人发放面包，向衣不蔽体的人发放衣服，在他的国土上，到处一片祥和富足的景象。	Love
64	星孩十分心痛兔子，就把它放了，并对它说：“我自己虽然是一个奴隶，我却要让你获得自由。”	Love
65	跟我走吧,我的儿子，我需要你的爰哪。	Love
66	但是那麻风病人看他来了,跑上去迎住他，跪下来大声说：“给我一点儿钱花吧，要不我就饿死了。”	Sadness
67	玫瑰树大声招呼夜莺朝那刺儿靠近再靠近。	Fear
68	野猪在山谷里拱吃玉米的根，狐狸咬断山间的葡萄藤。	Fear
69	我什么都不会给你的她喃喃地说。	Sadness
70	但是，瞧！他走过城门时，卫兵们点头哈腰向他行礼，说：“我们的君主多么美啊！”一群市民追随在他身后，大声嚷叫说：“这全世界都没有这么美的人啊！”	Joy
71	Then the Hail stopped dancing over his head, and the North Wind ceased roaring, and a delicious perfume came to him through the open casement.	Joy
72	那是第二天就要举行加冕典礼的那天夜晚，年轻的国王独自坐在他的美丽的宫室里。	Joy
73	“我这花园哪儿都没有红玫瑰啊！”他感叹说，美丽的眼睛里充满了泪水。	Sadness
74	He was wrapped in furs, and he roared all day about the garden, and blew the chimney- pots down.	Anger
75	The birds did not care to sing in it as there were no children, and the trees forgot to blossom.	Sadness
76	微弱的日光从格子窗户映照进来，他借光看见一个个瘦削的织工们在织机前埋头忙活。	Sadness
77	人们在十二点钟去市场时，发现巨人在他们见过的最美丽的花园里和孩子们玩耍。	Joy
78	但是谁都不敢看他的脸，只因他的脸像天使的圣容。	Love
79	Who art thou to bring pain into God’s world?	Fear
80	Indeed, I took the chair at a meeting some time ago, and we passed resolutions condemning everything that we did not like.	Anger
81	The negroes chattered to each other, and began to quarrel over a string of bright beads. 	Anger
82	Why, if little Hans came up here, and saw our warm fire, and our good supper, and our great cask of red wine, he might get envious, and envy is a most terrible thing, and would spoil anybody's nature.	Fear
83	他立即进了门，把那孩子塞进她的怀里；她亲过孩子，把他放在他们家最小的孩子躺着的小床上。	Love
84	There is a way, answered the Tree, "but it is so terrible that I dare not tell it to you."	Fear
85	但是焰火筒和信号焰火都非常生气,他们不停地说：“蒙人！蒙人！”声音大得不能再大了。	Anger
86	他头顶地上的尘土，抽泣不止,诚如一个心痛欲裂的人，对她说：“母亲啊，在我春风得意时我不认你。	Sadness
87	“你们俩不能躺在这里。”巡警厉声喝道，两个小男孩儿只好走进了雨中。	Anger
88	And the Star–Child grew red with anger, and stamped his foot upon the ground, and said, Who art thou to question me what I do?	Anger
89	He flew into dark lanes, and saw the white faces of starving children looking out listlessly at the black streets.	Sadness
90	他走得很近时，他的脸色因为生气变得通红，他说：“是谁竟敢伤害你？”	Anger
91	三年中他就这样在世界上寻找，这世界既没人爱他，也没人怜悯他或对他慈悲,可是这个世界正是他春风得意时为自己创造的啊。	Sadness
92	樵夫和他老婆倒也没有少骂他，总是说：“我们对待你从来没有像你对待那些孤苦无助的人那样。	Anger
93	热病在人群中畅行无阻，见人就摸，被她摸过的人全都死掉了。	Fear
94	Nay! answered the child; "but these are the wounds of Love."	Love
95	他的同伴们追随他，因为他漂亮，腿脚快，能跳舞，会吹奏，写曲子。	Joy
96	Her garments were torn and ragged, and her feet were bleeding from the rough road on which she had travelled, and she was in very evil plight.	Fear
97	But the storm grew worse and worse, and the rain fell in torrents, and little Hans could not see where he was going, or keep up with the horse.	Fear
98	Anybody can say charming things and try to please and to flatter, but a true friend always says unpleasant things, and does not mind giving pain.	Love
99	And the Woodcutter carried her to his own house, and his wife had care of her, and when she rose up from the swoon into which she had fallen, they set meat and drink before her, and bade her have comfort.	Love
100	我要去'死神殿'了。	Fear
101	船长见状哈哈大笑，伸岀手把那颗珍珠拿起来，端详过后，他把珍珠按在额头,鞠了一躬。	Joy
102	那麻风病人看见他来了，站在大路中间，大声嚷叫起来，说：“快把那块红金子给我吧，要不我就死定了。	Fear
103	Once a beautiful flower put its head out from the grass, but when it saw the notice-board it was so sorry for the children that it slipped back into the ground again, and went off to sleep.	Sadness
104	How happy we are here! they cried to each other.	Joy
105	有谁关心过咱们？	Sadness
106	麻风病人生活在盐泽地里，居住在芦苇茅草屋里，谁都不理他们。	Sadness
107	It was winter, and a night of bitter cold.	Fear
108	于是夜莺朝那刺儿靠得越来越狠，那刺儿终于扎住了她的心，一阵剧烈的疼痛传遍她的全身。	Fear
109	印度一些设防的城市里流行饥荒，撤马尔罕的水塘耗干了。	Sadness
110	Really, when I begin to reflect on the importance of my position, I am almost moved to tears.	Sadness
111	The last item on the programme was a grand display of fireworks, to be let off exactly at midnight.	Joy
112	天气冷得岀奇，连动物和鸟儿都不知道怎样对付下去了。	Fear
113	And the Star–Child grew red with anger, and stamped his foot upon the ground, and said, 'Who art thou to question me what I do?	Anger
114	He was very much annoyed that he could not get a word in.	Anger
115	母亲啊，我过去给了你恨。	Sadness
116	And I am so afraid the Pike may meet them.	Fear
117	And on the morrow the Magician came to him, and said, 'If to–day thou bringest me the piece of red gold I will set thee free, but if thou bringest it not I will surely slay thee.'	Fear
118	What a terrible misfortune! 	Sadness
119	一个人从人群里走岀来，恶狠狠地跟他说：老爷，难道你不明白穷人的生活仰仗富人的奢侈吗？	Anger
120	许多年过去了,巨人年纪很大很大了,身体衰老得不行。	Sadness
121	Who art thou? said the Giant, and a strange awe fell on him, and he knelt before the little child.	Fear
122	母亲，我当初拒绝了你。	Sadness
123	After he had waited there some time, he sold the sack of flour for a very good price, and then he returned home at once, for he was afraid that if he stopped too late he might meet some robbers on the way.	Fear
124	“国王的花园算不上世界,你这傻爆筒，”一个大焰火筒说，“世界是一个大得不能再大的地方，你花上三天时间把它看遍就不错了。	Anger
125	他早先去拜访他的朋友、康沃尔的吃人魔去了，和吃人魔一呆就是七年。	Fear
126	And the Star–Child answered, 'I am seeking for a piece of yellow gold that is hidden here, and if I find it not my master will beat me, and keep me as a slave.'	Fear
127	When he saw her he sank upon one knee, and kissed her hand.	Love
128	The bride and bridegroom were to dance the Rose-dance together, and the King had promised to play the flute.	Joy
129	织工气愤地看着他，说：“你看我干什么？	Anger
130	他把他那棕色的髯发从额头往后梳理一下,拿起古琵琶，手指在弦上随意弹动。	Joy
131	高兴起来吧。	Joy
132	“嗐！”他大声叫道，“好一个哑火箭！”他把他从墙头扔到了阴沟里。	Anger
133	I will stay with you always, said the Swallow, and he slept at the Prince's feet.	Love
134	他们一脸饥饿相，瘦弱的手哆嗦个不停。	Sadness
135	But when the Star–Child saw her, he said to his companions, 'See! There sitteth a foul beggar–woman under that fair and green–leaved tree.	Anger
136	The only people who were pleased were the Snow and the Frost. 	Joy
137	他穿着漂亮的王服，站立在他们面前，风琴弹岀了乐曲，号手吹响了他们的号角，童子唱起了圣诗。	Joy
138	他于是走到水井旁，往下看去，瞧呀!他的脸果真像癞蛤蟆的脸，他的身上像蛭蛇一样长满了鳞片。	Fear
139	And the child smiled on the Giant, and said to him, "You let me play once in your garden, to-day you shall come with me to my garden, which is Paradise."	Joy
140	But nobody saw him.	Sadness
141	所以你别哭了。	Love
142	我这件皇袍是悲伤的织机织的，是痛苦的苍白的手织的。	Sadness
143	Get thee hence, for we will not suffer thee to play with us, and they drave him out of the garden.	Anger
144	年轻的国王想开口说话，可是他的舌头好像粘在他的上顎上,嘴唇怎么也张不开。	Fear
145	 For if false lips touched it, it grew grey and dull and cloudy.	Sadness
146	最后他对她开了口，话语又生硬又刻薄。	Anger
147	True love suffers, and is silent.	Sadness
148	树的枝杈全是金色，银闪闪的果子挂在枝头，树下站着他爱恋的那个小男孩儿。	Love
149	太阳落山时他只好朝家的方向走去，哭得伤心极了，因为他知道什么命运在等着他。	Sadness
150	Romance is a thing of the past.	Sadness
151	Nonsense! said the Roman Candle.	Anger
152	Yet did his beauty work him evil, for he grew proud, and cruel, and selfish.	Anger
153	Good-bye a second time; I see my daughters in the distance and the little Frog swam away.	Joy
154	Poor people, to lose their only son!	Sadness
155	他又抽泣起来，说：母亲，我的痛苦使我不堪忍受啊。	Sadness
156	“办法倒是有的，”玫瑰树回答说,“可是那办法太可怕，我都不敢告诉你。”	Fear
157	When she made her great public appearance she spun round nineteen times before she went out, and each time that she did so she threw into the air seven pink stars.	Joy
158	我生养了六个美丽的女儿，我很担心狗鱼碰见她们。	Fear
159	Well, upon my word, you are very ungrateful, said the Student angrily, and he threw the rose into the street, where it fell into the gutter, and a cart-wheel went over it.	Anger
160	If they had lost their only son there would be no use in saying anything more about the matter.	Sadness
161	And when they came to the village, his comrade said to him, 'Thou hast the child, therefore give me the cloak, for it is meet that we should share.'	Love
162	她捶打着她那不育的胸脯,大声哭叫起来。	Anger
163	奴隶们赤身裸体，只缠着一块破腰布,每个人都用铁链与相邻的人拴在一起。	Fear
164	就在他转身哭着离去时，一个身穿嵌金花铠甲、头盔上饰有带翅狮的人走了过来，询问那些士兵一心想进城门的人是谁。	Sadness
165	疟疾在广大的人群中畅行无阻，三分之一的人立即倒地身亡。	Sadness
166	“是强盗把你从我怀里夺走，扔下你死掉不管的，”她唠叨说，“但是我一看见你就认出来了，我也认出这两件东西了，就是这金丝斗篷和琥珀项链。	Sadness
167	瞧这冷风一个劲儿往屋里刮，我都冻死了。	Fear
168	We have certain accomplishments, and that is more than sufficient.	Joy
169	Death is a great price to pay for a red rose, cried the Nightingale, "and Life is very dear to all.	Fear
170	And the Linnet answered, Thou hast clipt my wings for thy pleasure.	Anger
171	I may be wrong, but I should have thought that friendship, true friendship, was quite free from selfishness of any kind.'	Love
172	It is so entrancing that everybody lies awake to listen to us.	Joy
173	我不是你的儿子，用不着听你说三道四。	Anger
174	And the Giant stole up behind him and took him gently in his hand, and put him up into the tree.	Love
175	Here you are laughing and making merry just as if the Prince and Princess had not just been married."	Joy
176	织工气愤地看着他，说：你看我干什么？	Anger
177	What are you doing here? he cried in a very gruff voice, and the children ran away.	Anger
178	“你这下完全瞎了，”他说，“我就一直呆在你身边吧。” 	Love
179	Only the little boy did not run, for his eyes were so full of tears that he did not see the Giant coming.	Sadness
180	For the next three days everybody went about saying, "White rose, Red rose, Red rose, White rose"; and the King gave orders that the Page's salary was to be doubled.	Joy
181	认识自己的朋友可是非常危险的事情。	Fear
182	但是他的伙伴回答他说：“不，把一个小娃娃扔在雪地里冻死在这儿，这是作孽啊；尽管我像你一样穷苦，拉家带口,连锅都揭不开了，可是我却要把他带回家,我老婆会照管他的。”	Love
183	接着冰雹停止了在头顶砰砰乱跳，北风不再呼呼吼叫,一股扑鼻的香气从开着的窗扉飘到了他跟前。	Joy
184	No red rose in all my garden! he cried, and his beautiful eyes filled with tears.	Sadness
185	“我们当时过得多么幸福。”他们彼此诉说道。	Sadness
186	It is most gratifying to find oneself so popular.	Joy
187	樵夫这时在附近一个木料场里砍木头，看见了星孩的所作所为，就跑过来训斥他说：“你真是铁石心肠，一点不知可怜人，这个可怜的女人究竟干了什么坏事惹了你，你这样对待他？”	Anger
188	你是老几，竟敢给上帝的世界带来痛苦？	Anger
189	疆鼠回答说：“你早把我的眼睛弄瞎了。	Anger
190	And who knows if it will not bring us bad fortune?	Fear
191	据说那个墓穴里还躺着一个人，死者是一个异常英俊美丽的青年，他的双手用绳子反绑着，胸部被捅了很多刀，衣服都被血染红了。	Fear
192	To–day thou shalt bring me the piece of white gold, and if thou bringest it not back, I will beat thee with a hundred stripes.	Anger
193	他站在了耶稣像前，他的右手和左手都是精美的金制器皿、盛着葡萄酒的圣餐杯和盛着圣油的玻璃杯。	Joy
194	那确实是一幕让人惊喜的景色。	Joy
195	我的山谷与你有什么关系，你非赖着不走？快走吧，别再到这里来。	Anger
196	整整一天他都在呼唤她，太阳西下时他就躺在树叶床上睡觉，鸟儿和野兽都从他身边逃走，因为他们都想起来他心毒手狠，除了癞蛤蟆守在他身边，还有蛭蛇缓缓爬了过去，他孤零零地一个人呆着。	Sadness
197	I should expect my devoted friend to be devoted to me, of course.	Love
198	That is a very selfish reason, said the Rocket angrily.	Anger
199	枯干的刺儿开了花，开出的红玫瑰比红宝石还艳红。	Joy
200	Of course; I knew I was discussing some interesting subject when I was so rudely interrupted.	Anger
201	“不，”兔子回答说，“只不过像你又寸待我那样，我同样地对待你罢了。”兔子说完一转眼跑走了，星孩就朝城市走去。	Love
202	王后对他说：“这是你曾救助过的你的亲生父亲。”	Love
203	他气得满脸通红，对他们说：“我就是国王。”他把他们的矛戟挡到一边，闯了进去。	Anger
204	这欧洲北部的天气真是吓人。	Fear
205	他觉得他在一片昏暗的林子里闲荡,上挂满了奇怪的果子和美丽的毒花儿。	Fear
206	“在战争中，”织工回答说，“强者使弱者成为奴隶，而和平年代，富人使穷人成为奴隶。	Anger
207	My good creature, cried the Rocket in a very haughty tone of voice, "I see that you belong to the lower orders.	Anger
208	Dost thou seek to slay thine also?	Fear
209	In fact, she is like most artists, she is all style, without any sincerity.	Anger
210	And the weaver looked at him angrily, and said, 'Why art thou watching me?	Anger
211	巨人悄悄地站在他身后，轻轻地把他拿在手里，放在了树上。	Love
212	他真心为他过去的行为感到后悔。	Sadness
213	There is neither society here, nor solitude.	Sadness
214	街上突然传来一阵闹哄哄的喧嚣，那些宫廷大员来势汹汹闯了进来，他们手中的剑已出鞘，盾牌闪着金属的光泽，头上的冠羽摇来晃去。	Fear
215	但是他的脸惨白如纸，倒在甲板上时，鲜血从耳朵和鼻孔里流了出来。	Fear
216	但是她并没有消气，反而取笑他，越说气越大，最后哭泣道：“我们的孩子都没有面包吃，我们还养得起别人的孩子吗？	Anger
217	Little Hans had a great many friends, but the most devoted friend of all was big Hugh the Miller.	Love
218	年轻的国王哭了，说：“这些人是谁，他们在寻找什么？”	Sadness
219	那女人就回答他：“我是你的母亲呀。”	Love
220	He was so damp with crying that he could not go off at all.	Sadness
221	“一位远比我伟大的人为你加冕了啊！”他高声赞叹着，在年轻的国王面前跪了下来。	Joy
222	But a second rap came, and then a third, louder than any of the others.	Fear
223	'Good-bye, little Hans,' said the Miller, as he went up the hill with the plank on his shoulder, and the big basket in his hand.	Love
224	Get thee gone.	Anger
225	“不，”死亡说，“你不给我一粒玉米，我就不走。	Fear
226	Every day for three hours he rattled on the roof of the castle till he broke most of the slates, and then he ran round and round the garden as fast as he could go. 	Anger
227	人们肃然起敬，纷纷跪了下来，宫廷大员们赶快把剑收进鞘里，俯首称臣，主教的脸顿时变得惨白，双手抖动不止。	Fear
228	Often did the Woodcutter and his wife chide him, and say: 'We did not deal with thee as thou dealest with those who are left desolate, and have none to succour them.	Anger
229	还不如冻死在树林里好呢，要么让什么野兽撞上咱们，吃了也行啊。	Fear
230	小松鼠回答说：“你已经把我妈妈杀害了。	Anger
231	这是一幕可爱的景色，只有花园的一隅还是冬天。	Joy
232	They used to wander round the high wall when their lessons were over, and talk about the beautiful garden inside.	Joy
233	Who hath dared to wound thee? cried the Giant; "tell me, that I may take my big sword and slay him."	Anger
234	但凡能摆脱宫中事务或接见下臣，他就会跑下镶满金色铜狮和明亮斑岩的大阶梯，从一间房子逛到另一间房子，从一道通廊走进另一道通廊，像一个人专心在美中寻找解痛灵,在美中寻找治病秘方。	Joy
235	然而玫瑰树大声招呼夜莺把那刺顶得更紧些。	Fear
236	'Alas!' cried the Star–Child, 'I have but one piece of money in my wallet, and if I bring it not to my master he will beat me, for I am his slave.'	Fear
237	Whenever we appear we excite great attention.	Joy
238	No pity had he for the poor, or for those who were blind or maimed or in any way afflicted, but would cast stones at them and drive them forth on to the highway, and bid them beg their bread elsewhere, so that none save the outlaws came twice to that village to ask for alms.	Fear
239	TRESPASSERS WILL BE PROSECUTED	Fear
240	但是孩子们一看见他，吓得胆战心惊，纷纷逃跑了,花园又变成了冬天。	Fear
241	巨人欣喜若狂地跑下楼梯，岀了房子冲进花园。	Joy
242	Then there was a State Banquet, which lasted for five hours.	Joy
243	他穿着一身灰色服装，他吐出的气跟冰差不多。	Sadness
244	Really, if it had been arranged beforehand, it could not have turned out better for him; but, Princes are always lucky."	Joy
245	星孩回答他们说：“我不是什么国王的儿子，只是一个可怜的要饭女人的孩子。	Sadness
246	星孩回答说：“我在寻找一块藏在这里的黄金，我要是找不到它，我的主人会打我，把我当奴隶使唤的。”	Sadness
247	已经是冬天了，”燕子回答说，这里很快就要下寒冷的雪了。	Fear
248	“不！ ”孩子回答说，“这是爱的伤痕呀。”	Love
249	“麻雀难道没有在冬天饿死吗？”她问道，“现在不就是冬天吗？”	Anger
250	I am his best friend, and I will always watch over him, and see that he is not led into any temptations.	Love
251	那些跑掉的孩子，看出来巨人不再像过去那样坏，又都跑回来，春天也跟着孩子们来了。	Joy
252	雪往草地盖上了她那巨大的白色斗篷，霜把所有的树都涂上了银色。	Joy
253	I am not going to stop talking to him merely because he pays no attention.	Anger
254	But his face was strangely pale, and as he fell upon the deck the blood gushed from his ears and nostrils. 	Fear
255	Better that we had died of cold in the forest, or that some wild beast had fallen upon us and slain us.'	Fear
256	整个夜晚你都必须给我唱歌，那根刺一定会刺进你的心，你的鲜血必须流进我的叶脉里，成为我自己的血。”	Fear
257	Well, good-bye, I have enjoyed our conversation very much, I assure you."	Joy
258	”这块土地是自由的，”年轻的国王说，“你不是任何人的奴隶。”	Joy
259	太阳西下时，他坐在地上哭起来，可就在哭泣时，他从陷阱里救上来的小兔子来到了他的跟前。小兔子跟他说：“你哭什么？	Sadness
260	那女人一看这两样东西就高兴得哭起来，说：“他就是我丢在森林里的小儿子呀。	Joy
261	不，你真的是我的小儿子啊，我当时把你生在树林里了，”她哭叫着，跪在地上，向星孩伸出她的双臂，	Sadness
262	但是，他们转喜为悲，因为他们想起他们家境贫穷，其中一个对另一个说:“我们有什么好快乐的？瞧瞧这生活是偏向富人的，不是为我们这等人着想的！	Sadness
263	But the Spring never came, nor the Summer. 	Sadness
264	What a pity!	Sadness
265	他们把我赶岀了城门，谁都不管我的死活。	Anger
266	我们和那些辛辛苦苦为我们劳作的人有什么关系？一个人非得亲眼看见播种的人才可以吃面包吗？一个人非得和踩榨葡萄酒的人交谈过才可以喝葡萄酒吗？	Anger
267	So he came near and threw stones at her, and mocked her, and she looked at him with terror in her eyes, nor did she move her gaze from him.	Fear
268	老头儿从缠头布上取下一块花绸布，蒙在星孩的眼睛上，推操着往前面走。	Fear
269	过了一会儿，她转过身来，看着丈夫,眼里噙满了泪水。	Sadness
270	整个夜晚她都在唱歌，那根刺儿越来越深地戳进了她的胸膛，她的鲜血渐渐离她而去。 	Fear
271	“要是你真的是我的生身母亲，”他说，“那你还是离去的好，别在这儿让我丢脸，你瞧我原以为我是某颗星星的孩子,而不是一个叫花子的孩子，像你和我说的那样。	Anger
272	My little boy has fallen off a ladder and hurt himself, and I am going for the Doctor.	Fear
273	“这位穿戴得像一个乞丐的国王在哪里------就是给我们王国带来耻辱的男孩儿？我们一定要杀了他,他根本不配统治我们。”	Anger
274	“可我就喜欢争论。”火箭说。	Anger
275	The King's son was going to be married, so there were general rejoicings.	Joy
276	这片树林从外面看去非常漂亮，好像到处都是欢唱的鸟儿，到处都是温馨的花朵，星孩满心高兴地走了进去。	Joy
277	狗鱼是一个十足的妖怪，拿她们当早餐吃毫不犹豫。	Fear
278	百合花比精选的珍珠还白净啊，百合花的茎比银子还纏亮。	Joy
279	他深为自己插不上嘴感到恼火。	Anger
280	那棵可怜的树仍然盖满了霜和雪，北风呼呼地吹，在树梢上呜呜地叫。	Sadness
281	星孩回答说：“我没有带来。”	Sadness
282	“快爬上来呀，小男孩儿！” 树说着，尽可能低地垂下了他的树枝，但是小男孩儿太幼小，还是够不着。	Sadness
283	But she would not be appeased, but mocked at him, and spoke angrily, and cried: 'Our children lack bread, and shall we feed the child of another?	Anger
284	I am sure I hope so, but the sky is quite blue and cloudless.	Sadness
285	魔术师扑上去，对他一顿狠打，并且用链子把他拴了起来，又投进了地牢里。	Anger
286	她用翅膀把山谷覆盖上，无一人活了下来。	Sadness
287	因此，快让我们的君主戴上这顶皇冠，拿上这根权杖，以我们国王的公正和慈悲来统治我们吧。”	Joy
288	她要是给家里带不回一些钱，她父亲会打她的，她在哭泣。	Fear
289	Good-bye, cried the Fire-balloon, as he soared away, dropping tiny blue sparks.	Joy
290	他们终于脱险，因此高兴得不知怎么才好，哈哈大笑起来，大地在他们看来像一朵银花，月亮则像一朵金花。	Joy
291	一个样子凶恶的老头儿正好路过，大声吆喝说：“我出这个价买下他。”他把钱付清后，领着星孩进了城。	Fear
292	苦难在一大早就把我们弄醒，耻辱夜里和我们坐在一起。	Sadness
293	Therefore get thee hence, and let me see thee no more.	Anger
294	Indeed, if he is a really true friend he prefers it, for he knows that then he is doing good.	Love
295	他们中间的一个对另一个说：“我们这才是空欢喜一场，连一点儿好运气也摊不上，一个小娃娃能让一个人得到什么好处？	Sadness
296	He was so small that he could not reach up to the branches of the tree, and he was wandering all round it, crying bitterly.	Sadness
297	”他愁眉苦脸地离去，把梭子抛进织布机，年轻的国王看见梭子里带着一条金丝。	Sadness
298	他们的小红爪子冻得不轻，可是他们觉得他们有责任对目前的局势采取浪漫的看法。	Love
299	狮子伏击商队，吃掉骆驼。	Fear
300	凶恶的强盗下山抢走小孩,把他们卖给摩尔人。	Fear
301	In the farthest corner of the garden was a tree quite covered with lovely white blossoms.	Joy
302	And when he came quite close his face grew red with anger, and he said, "Who hath dared to wound thee?"	Anger
303	“你说的是实话，”樵夫回答说，“可是我在树林里发现你时对你动了恻隐之心。”	Love
304	只有那个小男孩儿没有跑掉，因为他的眼睛里满是泪水，没有看见巨人走了过来。	Sadness
305	随后他开始感到全身上下一阵奇怪的刺痛。	Fear
306	Now I am going to explode, he cried.	Fear
307	But nobody heard him, not even the two little boys, for they were sound asleep.	Sadness
308	Then the Spring came, and all over the country there were little blossoms and little birds. 	Joy
309	What a delightful voice you have! cried the Frog.	Joy
310	The world is certainly very beautiful, cried a little Squib.	Joy
311	But when he saw her who was waiting there, he laughed scornfully and said, 'Why, where is my mother?	Anger
312	'Nonsense!' growled the Wolf.	Anger
313	'Well, really,' answered the Miller, 'as I have given you my wheelbarrow, I don't think that it is much to ask you for a few flowers.	Anger
314	Romance is dead, Romance is dead, Romance is dead, she murmured.	Sadness
315	What a silly question! cried the Water-rat.	Anger
316	You are blind now, he said, "so I will stay with you always."	Love
317	多么可怕的灾难！	Fear
